,Name,Ratings,Position,Version,PS,SKI,WF,WR,PAC,SHO,PAS,DRI,DEF,PHY,Popularity,BS,IGS,Club,League,Country,Height(cm),Weight(kg),Body Type
3201,Francesco Caputo,78,ST,Normal,1600.0,3,4,H \ L,82,79,62,78,30,67,31,398,1896,Sampdoria,Serie A TIM,Italy,181,74, Lean
3202,Giacomo Bonaventura,78,CM,Normal,1500.0,4,3,H \ M,69,75,80,80,70,65,21,439,2155,Fiorentina,Serie A TIM,Italy,181,75, Average
3203,Ashley Westwood,78,CDM,Normal,1800.0,3,3,M \ M,58,62,80,74,74,75,35,423,2097,Burnley,Premier League,England,175,73, Average
3204,Pedro Rodríguez Ledesma,78,CF,Normal,1400.0,4,5,M \ M,74,73,77,84,40,52,72,400,1960,SS Lazio,Serie A TIM,Spain,169,65, Short & Lean
3205,Julian Baumgartlinger,78,CDM,Normal,2000.0,2,3,M \ H,57,49,70,69,77,79,23,401,1933,Leverkusen,Bundesliga,Austria,181,85, Average
3206,Chris Smalling,78,CB,Normal,1400.0,2,3,M \ H,64,47,58,60,79,79,66,387,1788,Roma FC,Serie A TIM,England,194,81, High & Average+
3207,Kike García,78,ST,Normal,2000.0,3,4,H \ M,61,81,64,74,44,74,25,398,1881,CA Osasuna,LaLiga Santander,Spain,186,79, High & Average
3208,Jaume Costa,78,LB,Normal,3000.0,3,3,H \ H,73,61,71,73,77,68,6,423,2012,RCD Mallorca,LaLiga Santander,Spain,171,62, Lean
3209,Roberto Soriano,78,CAM,Normal,1500.0,4,4,M \ M,69,75,78,79,67,71,35,439,2106,Bologna,Serie A TIM,Italy,182,76, Average
3210,Víctor Ruiz Torre,78,CB,Normal,1500.0,2,2,M \ M,50,42,65,60,79,78,12,374,1806,Real Betis,LaLiga Santander,Spain,185,78, High & Average
3211,Laguardia,78,CB,Normal,1800.0,2,3,M \ H,50,46,55,52,80,78,17,361,1696,D. Alavés,LaLiga Santander,Spain,185,80, High & Average
3213,Dedryck Boyata,78,CB,Normal,1500.0,2,3,M \ H,70,29,52,58,79,83,75,371,1677,Hertha Berlin,Bundesliga,Belgium,188,84, High & Average
3214,Jonas Svensson,78,RB,Normal,1700.0,3,3,H \ H,79,60,73,75,74,82,48,443,2095,Adana Demirspor,Süper Lig (TUR 1),Norway,170,70, Short and Balanced
3215,Fredrik Midtsjø,78,CM,Normal,2000.0,3,3,M \ H,76,63,77,77,71,79,34,443,2078,AZ,Eredivisie,Norway,176,70, Average
3216,Domagoj Vida,78,CB,Normal,2000.0,2,3,M \ H,73,40,58,60,80,81,51,392,1830,Beşiktaş,Süper Lig (TUR 1),Croatia,184,76, Lean
3217,Oriol Romeu Vidal,78,CDM,Normal,1800.0,2,3,L \ H,41,44,62,65,80,81,27,373,1824,Southampton,Premier League,Spain,183,83, Average
3218,Dennis Praet,78,CM,Normal,1500.0,4,4,M \ M,67,72,78,79,63,66,20,425,2049,Torino,Serie A TIM,Belgium,181,78, Average
3220,Lewis Dunk,78,CB,Normal,1400.0,2,3,M \ H,46,51,62,64,79,78,38,380,1790,Brighton,Premier League,England,192,88, High & Average
3221,Hans Vanaken,78,CM,Normal,1700.0,4,5,H \ M,48,78,79,75,59,73,16,412,2012,Club Brugge,1A Pro League (BEL 1),Belgium,195,80, High & Average+
3222,Stefan Ortega,78,GK,Normal,5000.0,1,4,M \ M,73,72,86,85,52,74,121,442,1050,Bielefeld,Bundesliga,Germany,185,88, High & Average
3223,Djibril Sidibé,78,RB,Normal,1400.0,3,4,M \ M,74,62,74,74,74,79,39,437,2068,AS Monaco,Ligue 1,France,182,71, Average
3224,Felipe Anderson,78,LM,Normal,2000.0,4,4,M \ M,85,74,76,82,55,59,134,431,2022,SS Lazio,Serie A TIM,Brazil,175,70, Unique
3225,Jannik Vestergaard,78,CB,Normal,3700.0,2,4,M \ M,32,48,62,49,79,82,32,352,1719,Leicester City,Premier League,Denmark,199,96, High & Average
3226,Pavel Kadeřábek,78,RWB,Normal,5000.0,3,2,H \ M,74,43,73,73,72,79,5,414,1996,TSG Hoffenheim,Bundesliga,Czech Republic,182,81, Average
3227,Héctor Bellerín Moruno,78,RB,Normal,1700.0,3,2,H \ L,83,51,69,77,73,65,47,418,1955,Real Betis,LaLiga Santander,Spain,178,74, Lean
3228,Damián Suárez,78,RB,Normal,1800.0,3,3,H \ M,73,69,73,74,76,77,6,442,2121,Getafe CF,LaLiga Santander,Uruguay,173,68, Average
3229,John Brooks,78,CB,Normal,1700.0,2,3,M \ H,59,39,59,64,80,76,16,377,1734,VfL Wolfsburg,Bundesliga,United States,193,78, High & Average
3230,Mário Rui Silva Duarte,78,LB,Normal,1400.0,3,3,H \ M,80,49,73,79,71,64,83,416,2047,Napoli,Serie A TIM,Portugal,170,67, Short & Lean
3231,Denis Suárez Fernández,78,CM,Normal,1500.0,3,3,M \ M,74,71,81,80,61,56,23,423,2036,RC Celta,LaLiga Santander,Spain,178,66, Lean
3233,Moisés Gómez Bordonado,78,LM,Normal,1400.0,4,5,M \ M,68,74,77,78,55,61,12,413,1985,Villarreal CF,LaLiga Santander,Spain,176,73, Average
3234,Roberto Torres Morales,78,RM,Normal,2200.0,3,4,M \ M,67,78,79,76,65,72,14,437,2118,CA Osasuna,LaLiga Santander,Spain,178,72, Average
3235,William Carvalho,78,CDM,Normal,1300.0,3,4,M \ M,40,60,75,68,74,84,31,401,1947,Real Betis,LaLiga Santander,Portugal,187,79, High & Average
3236,Bryan Cristante,78,CDM,Normal,2200.0,3,3,M \ M,55,71,76,75,75,78,17,430,2072,Roma FC,Serie A TIM,Italy,186,80, High & Average
3237,Romain Saïss,78,CB,Normal,1800.0,3,3,M \ H,58,56,69,70,79,77,18,409,1951,Wolves,Premier League,Morocco,188,84, High & Average+
3238,Jonas Hector,78,CDM,Normal,1500.0,3,4,M \ M,59,60,75,75,76,75,31,420,2041,1. FC Köln,Bundesliga,Germany,185,75, High & Average
3239,Clinton Mata,78,RB,Normal,1500.0,3,3,H \ H,82,61,68,75,76,80,34,442,2098,Club Brugge,1A Pro League (BEL 1),Angola,180,73, Average
3240,Florent Mollet,78,CAM,Normal,1700.0,3,4,H \ M,74,75,78,80,51,63,81,421,2048,Montpellier,Ligue 1,France,170,67, Short & Lean-
3241,Renato Steffen,78,LM,Normal,1500.0,3,3,H \ M,79,75,74,80,48,65,16,421,2070,VfL Wolfsburg,Bundesliga,Switzerland,170,65, Short & Lean-
3242,Marcel Halstenberg,78,CB,Normal,2000.0,3,3,H \ M,63,66,73,71,76,80,29,429,2083,RB Leipzig,Bundesliga,Germany,188,87, High & Average
3244,John McGinn,78,CDM,Normal,1500.0,3,3,H \ H,70,73,75,78,71,80,110,447,2118,Aston Villa,Premier League,Scotland,178,68, Average
3245,Moussa Dembélé,78,ST,Normal,1400.0,3,3,M \ L,78,77,63,73,30,82,17,403,1918,OL,Ligue 1,France,183,79, Average
3246,Nicolae Stanciu,78,CAM,Normal,1500.0,4,4,M \ H,72,75,80,80,59,68,36,434,2136,Slavia Praha,Česká Liga (CZE 1),Romania,170,63, Short & Lean-
3247,Ricardo Sousa Esgaio,78,RWB,Normal,1400.0,4,4,H \ M,74,67,75,78,70,69,6,433,2095,Sporting CP,Liga NOS (POR 1),Portugal,173,65, Average
3248,Tyrone Mings,78,CB,Normal,1500.0,3,2,M \ M,72,44,67,66,78,81,66,408,1868,Aston Villa,Premier League,England,196,77, High & Average
3249,Jonathan Tah,78,CB,Normal,3300.0,2,4,M \ M,67,27,55,57,79,81,56,366,1640,Leverkusen,Bundesliga,Germany,195,98, High & Stocky
3250,Puertas,78,RM,Normal,1500.0,3,3,H \ H,78,76,72,77,44,75,1,422,1987,Granada CF,LaLiga Santander,Spain,183,77, Average
3251,Thiago Mendes,78,CDM,Normal,1400.0,3,3,M \ H,72,67,76,77,74,75,67,441,2109,OL,Ligue 1,Brazil,177,75, Average
3252,Adama Traoré Diarra,78,RW,Normal,1500.0,4,2,H \ L,96,66,67,86,38,81,1030,434,1935,Wolves,Premier League,Spain,178,72, Unique
3254,Benjamin Bourigeaud,78,CM,Normal,1500.0,3,3,H \ H,70,74,79,77,66,73,10,439,2142,Rennes,Ligue 1,France,178,68, Lean
3256,Ayoze Pérez Gutiérrez,78,RW,Normal,10000.0,4,4,H \ H,77,73,72,80,58,67,19,427,2076,Leicester City,Premier League,Spain,178,72, Lean
3257,Daniel García Carrillo,78,CM,Normal,2000.0,3,3,L \ H,41,69,71,74,78,83,11,416,2013,Athletic Club,LaLiga Santander,Spain,180,81, Average
3258,Seko Fofana,78,CM,Normal,1400.0,3,4,H \ H,76,71,72,78,72,79,195,448,2072,RC Lens,Ligue 1,Côte d'Ivoire,185,74, High & Average
3259,Léo Dubois,78,RB,Normal,1300.0,3,4,H \ M,72,59,75,73,76,74,29,429,2052,OL,Ligue 1,France,178,65, Lean
3260,Alexandre Moreno Lopera,78,LB,Normal,4000.0,3,3,H \ M,88,60,71,77,71,64,110,431,2035,Real Betis,LaLiga Santander,Spain,179,68, Lean
3261,Sequeira,78,LB,Normal,1400.0,3,3,M \ M,70,59,69,72,77,79,16,426,2031,SC Braga,Liga NOS (POR 1),Portugal,184,79, Average
3262,Ludovic Ajorque,78,ST,Normal,1300.0,3,3,M \ M,60,78,60,70,26,81,32,375,1778,Strasbourg,Ligue 1,France,197,92, High & Average
3263,Baptiste Santamaria,78,CDM,Normal,1500.0,3,2,M \ M,60,62,71,74,76,74,14,417,1978,Rennes,Ligue 1,France,183,73, Lean
3264,Rafael Santos Borré,78,ST,Normal,1500.0,3,3,H \ H,81,77,72,78,44,76,198,428,2079,Frankfurt,Bundesliga,Colombia,174,70, Average
3265,Ollie Watkins,78,ST,Normal,3500.0,3,4,H \ H,85,75,68,75,46,71,79,420,1969,Aston Villa,Premier League,England,180,70, Average
3266,Lucas Olaza,78,LB,Normal,10000.0,3,3,H \ M,77,71,74,74,74,72,-1,442,2108,R. Valladolid CF,LaLiga SmartBank (ESP 2),Uruguay,175,70, Average
3268,Rick Karsdorp,78,RM,Normal,1500.0,3,3,M \ M,87,64,74,77,76,78,71,456,2129,Roma FC,Serie A TIM,Netherlands,184,80, Average
3269,Jony,78,LM,Normal,1400.0,3,3,H \ M,82,69,77,78,52,65,14,423,1987,SS Lazio,Serie A TIM,Spain,179,71, Average
3270,Mario Pašalić,78,CM,Normal,1400.0,4,4,H \ M,64,75,75,77,67,76,31,434,2066,Atalanta BC,Serie A TIM,Croatia,188,82, High & Average+
3271,Sergio Herrera Pirón,78,GK,Normal,1500.0,1,3,M \ M,80,77,74,78,47,75,24,431,908,CA Osasuna,LaLiga Santander,Spain,192,82, High & Average+
3272,Karl Toko Ekambi,78,LW,Normal,1500.0,3,4,H \ L,85,78,71,77,25,70,57,406,1922,OL,Ligue 1,Cameroon,185,74, High & Average+
3273,Jarrod Bowen,78,RM,Normal,1500.0,4,3,H \ M,76,74,73,79,44,65,39,411,1962,West Ham,Premier League,England,175,70, Average
3274,David García Zubiria,78,CB,Normal,1400.0,2,3,M \ M,53,37,64,64,78,75,8,371,1753,CA Osasuna,LaLiga Santander,Spain,185,72, High & Average+
3275,Guido Rodríguez,78,CDM,Normal,10000.0,2,4,M \ H,54,56,66,66,80,77,6,399,1873,Real Betis,LaLiga Santander,Argentina,185,80, High & Average+
3276,Kelechi Iheanacho,78,ST,Normal,1500.0,4,3,M \ M,74,80,70,77,38,71,59,410,1954,Leicester City,Premier League,Nigeria,185,82, High & Average
3277,Daniel Castelo Podence,78,LW,Normal,1500.0,4,4,H \ M,90,65,71,85,33,50,168,394,1881,Wolves,Premier League,Portugal,165,58, Short & Lean-
3279,Gelson Martins,78,RM,Normal,1400.0,5,3,H \ H,93,71,70,83,51,61,763,429,2036,AS Monaco,Ligue 1,Portugal,173,74, Average
3280,Matty Cash,78,RB,Normal,1500.0,3,3,H \ H,81,63,68,73,72,66,296,423,1978,Aston Villa,Premier League,England,179,74, Average
3281,Rodrigo Bentancur,78,CM,Normal,1500.0,4,4,M \ M,73,62,79,80,75,76,51,445,2124,Piemonte Calcio,Serie A TIM,Uruguay,187,78, High & Average+
3282,Ezri Konsa,78,CB,Normal,1400.0,2,3,M \ M,77,39,62,71,79,75,262,403,1859,Aston Villa,Premier League,England,183,77, Lean
3283,Nuno Santos,78,LW,Normal,1500.0,4,3,H \ M,81,75,75,80,43,67,13,421,2026,Sporting CP,Liga NOS (POR 1),Portugal,176,73, Average
3284,Florian Grillitsch,78,CM,Normal,1500.0,3,3,M \ M,69,60,77,78,72,66,25,422,1962,TSG Hoffenheim,Bundesliga,Austria,187,77, High & Average+
3285,Emil Audero,78,GK,Normal,1500.0,1,2,M \ M,80,73,73,82,53,76,15,437,859,Sampdoria,Serie A TIM,Italy,192,83, High & Average
3286,Gonzalo Montiel,78,RB,Normal,2000.0,3,3,H \ M,86,53,70,74,73,81,245,437,2057,Sevilla FC,LaLiga Santander,Argentina,175,70, Average
3287,Tammy Abraham,78,ST,Normal,1500.0,3,3,M \ M,70,78,60,72,31,70,104,381,1782,Roma FC,Serie A TIM,England,196,87, High & Average+
3289,Yusuf Yazıcı,78,CF,Normal,1700.0,4,4,M \ M,67,76,79,80,47,72,49,421,2035,LOSC,Ligue 1,Turkey,185,74, High & Average
3290,Wataru Endo,78,CDM,Normal,8500.0,3,4,M \ H,66,61,70,75,78,73,86,423,1994,VfB Stuttgart,Bundesliga,Japan,178,76, Average
3291,Robin Le Normand,78,CB,Normal,1400.0,2,3,M \ M,66,25,52,56,80,74,-29,353,1582,Real Sociedad,LaLiga Santander,France,187,81, High & Average
3293,Domingos Duarte,78,CB,Normal,1300.0,2,3,M \ M,56,35,58,54,80,78,14,361,1650,Granada CF,LaLiga Santander,Portugal,190,78, High & Average+
3294,Ismaïla Sarr,78,RW,Normal,1500.0,4,2,H \ M,94,76,67,80,22,67,272,406,1862,Watford,Premier League,Senegal,185,76, High & Average+
3295,Reinildo Isnard Mandava,78,LB,Normal,10000.0,3,3,M \ H,77,54,65,73,76,78,69,423,1960,LOSC,Ligue 1,Mozambique,180,73, Average
3297,Antonín Barák,78,CF,Normal,1300.0,4,3,M \ M,66,76,77,78,62,72,43,431,2045,Hellas Verona,Serie A TIM,Czech Republic,190,86, High & Average
3298,Nicolò Zaniolo,78,CAM,Normal,1500.0,3,3,H \ M,83,74,71,80,61,82,115,451,2079,Roma FC,Serie A TIM,Italy,190,79, Unique
3299,Amadou Haidara,78,CM,Normal,1700.0,3,2,H \ M,70,72,76,80,68,70,80,436,2089,RB Leipzig,Bundesliga,Mali,175,72, Lean
3300,Pedro Lomba Neto,78,LW,Normal,1500.0,4,4,H \ M,87,74,69,81,31,59,93,401,1862,Wolves,Premier League,Portugal,172,62, Average
3301,Noa Lang,78,LW,Normal,1300.0,4,3,H \ M,82,74,72,82,51,67,87,428,2029,Club Brugge,1A Pro League (BEL 1),Netherlands,179,69, Lean
3303,Boubakary Soumaré,78,CDM,Normal,1400.0,3,3,M \ M,70,56,74,77,72,80,38,429,2020,Leicester City,Premier League,France,188,82, High & Average+
3304,Jean-Pierre Nsame,78,ST,Normal,10000.0,3,4,H \ M,79,77,55,73,27,80,25,391,1837,BSC Young Boys,Raiffeisen Super L. (SUI 1),Cameroon,188,88, High & Average
3305,Nicolás De la Cruz,78,CM,Libertadores,1600.0,4,4,H \ H,84,75,77,81,69,67,63,453,2224,River Plate,CONMEBOL Libertadores,Uruguay,167,65, Short & Lean-
3306,Amine Gouiri,78,ST,Normal,10000.0,4,3,H \ M,79,80,75,79,44,70,93,427,2047,OGC Nice,Ligue 1,France,180,72, Average
3307,Predrag Rajković,78,GK,Normal,1600.0,1,2,M \ M,77,76,74,81,25,79,22,412,683,Stade de Reims,Ligue 1,Serbia,191,85, High & Average
3308,Anthony Nwakaeme,78,LW,Normal,2000.0,4,4,H \ L,80,76,74,80,39,80,184,429,1993,Trabzonspor,Süper Lig (TUR 1),Nigeria,185,80, High & Average
3309,Christoph Baumgartner,78,CAM,Normal,1900.0,3,3,M \ M,80,72,73,80,44,56,31,405,1937,TSG Hoffenheim,Bundesliga,Austria,180,73, Lean
3310,Luis Milla Manzanares,78,CDM,Normal,1600.0,3,3,H \ H,72,70,76,74,74,75,72,441,2113,Granada CF,LaLiga Santander,Spain,175,67, Lean
3311,Cody Gakpo,78,LM,Normal,1500.0,3,4,M \ M,84,78,74,78,41,72,127,427,2009,PSV,Eredivisie,Netherlands,189,76, High & Average+
3312,Júnior Moraes,78,ST,Normal,1400.0,3,4,H \ M,79,79,60,77,27,68,42,390,1820,Shakhtar Donetsk,Ukrayina Liha (UKR 1),Ukraine,176,74, Average
3313,De Frutos,78,RM,Normal,5000.0,4,4,M \ M,83,70,74,81,37,59,25,404,1909,Levante UD,LaLiga Santander,Spain,176,71, Lean
3314,Jonathan David,78,ST,Normal,1500.0,3,5,H \ H,85,76,71,78,25,70,247,405,1904,LOSC,Ligue 1,Canada,177,77, Average
3315,Jovane Cabral,78,LW,Normal,1500.0,4,4,H \ M,86,76,73,80,38,69,44,422,2012,Sporting CP,Liga NOS (POR 1),Cape Verde Islands,176,72, Stocky
3316,Uroš Račić,78,CM,Normal,1400.0,3,4,M \ M,66,75,75,74,78,81,19,449,2116,Valencia CF,LaLiga Santander,Serbia,193,81, High & Average
3317,Javier Puado Díaz,78,LM,Normal,1500.0,4,4,H \ H,83,76,68,80,45,73,52,425,1994,RCD Espanyol,LaLiga Santander,Spain,177,69, Average
3318,Youssouf Fofana,78,CM,Normal,1400.0,3,3,M \ H,71,67,74,77,74,78,107,441,2065,AS Monaco,Ligue 1,France,176,69, Average
3319,Mason Greenwood,78,RM,Normal,1800.0,3,5,H \ M,84,78,73,79,39,68,-35667,421,1993,Manchester Utd,Premier League,England,181,70, Lean
3320,Dušan Vlahović,78,ST,Normal,1400.0,3,3,M \ M,75,78,58,73,28,76,242,388,1800,Fiorentina,Serie A TIM,Serbia,190,75, High & Average
3321,Maxence Caqueret,78,CM,Normal,1500.0,3,3,H \ H,73,58,72,81,72,69,87,425,2003,OL,Ligue 1,France,174,63, Lean
3322,Carlos Neva Tey,78,LB,Normal,1500.0,3,2,H \ M,78,52,63,74,75,68,18,410,1886,Granada CF,LaLiga Santander,Spain,174,64, Lean
3323,Wesley Fofana,78,CB,Normal,1400.0,2,3,M \ M,74,37,55,64,80,78,149,388,1785,Leicester City,Premier League,France,190,76, High & Average+
3324,Nuno Mendes,78,LWB,Normal,1500.0,3,4,H \ M,85,57,68,74,74,72,987,430,2034,Paris SG,Ligue 1,Portugal,176,70, Average
3325,Florian Wirtz,78,CAM,Normal,1300.0,4,4,H \ M,72,68,76,83,51,59,283,409,1944,Leverkusen,Bundesliga,Germany,176,70, Average
3326,Andrey Lunev,78,GK,Normal,1500.0,1,3,M \ M,79,73,65,82,56,77,54,432,931,Leverkusen,Bundesliga,Russia,190,80, High & Average
3330,Junior Firpo,78,LB,OTW,1600.0,3,3,M \ M,81,64,71,72,75,76,-31,439,2018,Leeds United,Premier League,Spain,184,78, Lean
3331,Sandi Lovric,78,CAM,IF,1500.0,3,3,M \ M,61,70,78,78,69,75,2,431,2066,FC Lugano,Raiffeisen Super L. (SUI 1),Slovenia,180,75, Average
3337,Adam Davies,78,GK,IF,2000.0,1,3,M \ M,78,76,74,78,47,77,39,430,793,Stoke City,EFL Championship (ENG 2),Wales,185,80, High & Average
3344,Marvin Friedrich,78,CB,non-rare,1600.0,2,3,M \ M,64,41,57,53,81,76,35,372,1716,M'gladbach,Bundesliga,Germany,192,81, High & Average+
3347,Vito Mannone,78,GK,MOTM,1500.0,1,3,M \ M,77,76,74,79,63,78,56,447,988,AS Monaco,Ligue 1,Italy,189,77, High & Average
3348,Tyrese Campbell,78,RW,MOTM,1400.0,3,4,H \ M,90,79,69,78,41,75,114,432,2015,Stoke City,EFL Championship (ENG 2),England,183,75, Average
3349,Amin Younes,78,CAM,non-rare,1500.0,4,2,H \ M,74,68,74,86,38,59,-108,399,1892,Ettifaq FC,MBS Pro League (SAU 1),Germany,168,70, Short and Balanced
3350,Felipe Caicedo,78,CF,Rare,1500.0,3,3,H \ M,74,78,71,75,44,80,38,422,2012,Inter,Serie A TIM,Ecuador,183,82, Stocky
3351,Adama Traoré Diarra,78,RW,Rare,1500.0,4,2,H \ L,96,66,67,86,38,81,268,434,1935,FC Barcelona,LaLiga Santander,Spain,178,72, Unique
3352,Dušan Vlahovic,78,ST,non-rare,2000.0,3,3,M \ M,75,78,58,73,28,76,83,388,1800,Piemonte Calcio,Serie A TIM,Serbia,190,75, High & Average
3353,Reinildo Isnard Mandava,78,LB,non-rare,1500.0,3,3,M \ H,77,54,65,73,76,78,37,423,1960,Atlético de Madrid,LaLiga Santander,Mozambique,180,73, Average
3354,Rodrigo Bentancur,78,CM,Rare,1400.0,4,4,M \ M,73,62,79,80,75,76,79,445,2124,Spurs,Premier League,Uruguay,187,78, High & Average+
3355,Jovane Cabral,78,LW,Rare,1300.0,4,4,H \ M,86,76,73,80,38,69,38,422,2012,SS Lazio,Serie A TIM,Cape Verde Islands,176,72, Stocky
3356,Marcelo,78,CB,non-rare,1500.0,2,2,L \ H,42,46,60,56,78,85,17,367,1756,Bordeaux,Ligue 1,Brazil,191,85, High & Average
3357,Lucas Olaza,78,LB,non-rare,6000.0,3,3,H \ M,77,71,74,74,74,72,5,442,2108,Elche CF,LaLiga Santander,Uruguay,175,70, Average
3358,Yusuf Yazici,78,CF,non-rare,1500.0,4,4,M \ M,67,76,79,80,47,72,-5,421,2035,CSKA Moscow,League of Russia (RUS 1),Turkey,185,74, High & Average
3359,Jony,78,LM,non-rare,1400.0,3,3,H \ M,82,69,77,78,52,65,4,423,1987,R. Sporting,LaLiga SmartBank (ESP 2),Spain,179,71, Average
3360,Jean-Pierre Nsame,78,ST,non-rare,1300.0,3,4,H \ M,79,77,55,73,27,80,35,391,1837,Venezia,Serie A TIM,Cameroon,188,88, High & Average
3361,Jonny Howson,78,CM,MOTM,1500.0,3,3,M \ H,66,77,76,79,77,80,57,455,2230,Middlesbrough,EFL Championship (ENG 2),England,180,77, Average
3363,Yann Bodiger,78,CDM,IF,7900.0,2,3,M \ M,64,66,76,73,77,79,13,435,2092,FC Cartagena,LaLiga SmartBank (ESP 2),France,188,80, High & Average+
3364,Alves da Silva,78,RB,Rare,1500.0,4,3,H \ M,71,71,78,78,72,63,3422,433,2140,FC Barcelona,LaLiga Santander,Brazil,172,68, Average
3365,Antonio Mirante,78,GK,Rare,1400.0,1,2,M \ M,73,75,68,76,44,77,73,413,910,Milan,Serie A TIM,Italy,193,79, High & Average+
3366,Shkodran Mustafi,78,CB,non-rare,2000.0,2,2,M \ M,57,57,62,59,73,77,154,385,1846,Levante UD,LaLiga Santander,Germany,184,83, Average
3367,Takashi Inui,78,LM,non-rare,1500.0,4,4,M \ M,78,69,71,82,46,54,46,400,1935,Cerezo Osaka,Meiji Yasuda J1 (JPN 1),Japan,169,69, Short & Lean-
3370,Ryan Yates,78,CM,MOTM,1300.0,2,3,H \ H,75,67,68,73,75,89,-37,447,2070,Nott'm Forest,EFL Championship (ENG 2),England,190,77, High & Average
3372,Adam Le Fondre,78,ST,IF,1400.0,3,3,H \ L,74,81,72,78,38,79,42,422,2086,Sydney FC,A-League (AUS 1),England,180,73, Average
3374,Iván López Álvarez,78,LF,MOTM,1400.0,3,3,M \ M,86,80,76,82,46,73,47,443,2140,Raków Częstochowa,Polski Ekstraklasa (POL 1),Spain,174,70, Average
3375,Barry Douglas,78,LB,MOTM,1200.0,3,3,M \ M,73,73,81,76,76,73,44,452,2215,Lech Poznań,Polski Ekstraklasa (POL 1),Scotland,177,70, Average
3377,Marius Bülter,78,CF,IF,1500.0,3,3,H \ M,85,82,74,81,53,80,185,455,2092,FC Schalke 04,Bundesliga 2 (GER 2),Germany,188,85, High & Average
3378,Davy Roef,78,GK,MOTM,1400.0,1,3,M \ M,82,78,71,80,58,77,17,446,926,KAA Gent,1A Pro League (BEL 1),Belgium,187,87, High & Average
3379,Florin Tanase,78,CAM,IF,10000.0,3,3,H \ M,82,81,79,79,57,71,56,449,2187,FCSB,Liga I (ROM 1),Romania,185,71, High & Average+
3380,Cyriel Dessers,78,ST,Europa Conf MOTM,1700.0,3,4,M \ M,83,82,61,75,35,80,113,416,1937,Feyenoord,Eredivisie,Nigeria,184,83, Average
3381,Jonathan Levi,78,RW,IF,1400.0,3,3,M \ L,87,77,75,78,44,67,10,428,2004,IFK Norrköping,Allsvenskan (SWE 1),Sweden,185,75, High & Average+
3382,Franck Boli,78,ST,MOTM,1400.0,3,3,M \ L,83,79,58,78,34,78,59,410,1919,Ferencvárosi TC,Nemzetti Bajnoksag (HUN 1),Côte d'Ivoire,180,77, Stocky
3383,Emrah Bassan,78,RM,MOTM,1400.0,3,2,M \ M,84,76,80,80,29,66,29,415,2018,Kayserispor,Süper Lig (TUR 1),Turkey,177,66, Average
3384,Aitor Cantalapiedra,78,LW,MOTM,1500.0,3,3,M \ L,88,78,75,80,36,63,42,420,2002,Panathinaikos,Hellas Liga (GRE 1),Spain,177,67, Lean
3387,José Manuel Reina Páez,78,GK,non-rare,1400.0,1,3,M \ M,77,78,79,77,45,79,1,435,991,Villarreal CF,LaLiga Santander,Spain,188,92, Unique
3388,Dennis Praet,78,CM,non-rare,10000.0,4,4,M \ M,67,72,78,79,63,66,0,425,2049,Leicester City,Premier League,Belgium,181,78, Average
3389,Luiz Felipe Ramos Marchi,78,CB,Rare,1300.0,3,4,M \ H,73,29,61,68,80,72,7,383,1731,Real Betis,LaLiga Santander,Brazil,187,80, High & Average+
3390,Ryan Gravenberch,78,CM,Rare,5000.0,4,4,M \ M,77,74,77,82,68,71,53,449,2104,FC Bayern,Bundesliga,Netherlands,190,79, High & Average+
3391,Lucas Alario,78,ST,non-rare,1400.0,3,3,H \ M,63,78,58,74,30,75,3,378,1837,Frankfurt,Bundesliga,Argentina,184,78, Average
3392,Romain Saïss,78,CB,non-rare,1400.0,3,3,M \ H,58,56,69,70,79,77,9,409,1951,Beşiktaş,Süper Lig (TUR 1),Morocco,188,84, High & Average+
3393,Domingos Duarte,78,CB,non-rare,1500.0,2,3,M \ M,56,35,58,54,80,78,2,361,1650,Getafe CF,LaLiga Santander,Portugal,190,78, High & Average+
3394,Angelo Fulgini,78,CAM,non-rare,2000.0,4,4,H \ M,74,70,74,81,68,73,7,440,2052,1. FSV Mainz 05,Bundesliga,France,183,71, Lean
3395,Moussa Sissoko,78,CDM,Rare,7500.0,3,3,M \ H,74,61,73,75,75,87,19,445,2081,FC Nantes,Ligue 1,France,187,91, Unique
3396,Marwin Hitz,78,GK,non-rare,1500.0,1,3,M \ M,81,74,79,79,43,77,8,433,882,FC Basel 1893,Raiffeisen Super L. (SUI 1),Switzerland,194,89, High & Average
3397,Florent Mollet,78,CAM,Rare,1500.0,3,4,H \ M,74,75,78,80,51,63,25,421,2048,FC Schalke 04,Bundesliga 2 (GER 2),France,170,67, Short & Lean-
3398,Matteo Pessina,78,CAM,non-rare,1500.0,3,2,M \ M,70,70,74,78,67,72,9,431,2015,AC Monza,Calcio B (ITA 2),Italy,183,75, Lean
3399,Yangel Herrera,78,CM,non-rare,1500.0,3,3,H \ M,63,70,73,75,77,74,18,432,2035,Manchester City,Premier League,Venezuela,184,77, Lean
3401,Víctor Machín Pérez,78,LM,non-rare,1500.0,3,4,M \ M,76,76,76,77,41,72,-1,418,1974,Atlético de Madrid,LaLiga Santander,Spain,185,79, High & Average
3402,Sandro Tonali,77,CDM,Rare,1500.0,3,4,M \ H,78,65,77,76,72,76,155,444,2105,Milan,Serie A TIM,Italy,181,79, Unique
